Idx_Sample,SiO2,CaO,SO3,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Total aggregates,Na2SiO3,Na2O (Dry),Sio2 (Dry),Superplasticizer,water -eff,Slump (mm),CO2 (kg),fc 28-d (MPa)
1488,49.69,15.44,0.36,258,172,967.96105,795.03895,1763,138.21429,15.89,41.46,17.2,128.76964,117,134.41063,46.01
1489,49.69,15.44,0.36,264,176,969.46003,777.33997,1746.8,141.42857,16.26,42.43,17.6,131.76429,133,137.2619,45.96
1490,49.69,15.44,0.36,270,180,971.96195,760.53805,1732.5,144.64286,16.63,43.39,18,134.75893,148,140.12229,45.88
1491,47.085,18.3,0.45,180,180,1090.8446,773.9554,1864.8,115.71429,13.31,34.71,14.4,107.80714,78,116.12407,55.37
1492,47.085,18.3,0.45,185,185,1081.5584,775.84155,1857.4,118.92857,13.68,35.68,14.8,110.80179,79,119.06558,55.62
1493,47.085,18.3,0.45,190,190,1070.4551,776.34486,1846.8,122.14286,14.05,36.64,15.2,113.79643,80,121.99173,55.85
1494,47.085,18.3,0.45,195,195,1057.564,775.43599,1833,125.35714,14.42,37.61,15.6,116.79107,81,124.90251,56.11
1495,47.085,18.3,0.45,200,200,1043.045,772.95498,1816,128.57143,14.79,38.57,16,119.78571,81,127.79794,56.36
1496,47.085,18.3,0.45,205,205,1026.6499,769.15012,1795.8,131.78571,15.16,39.54,16.4,122.78036,82,130.67801,56.62
1497,47.085,18.3,0.45,210,210,1010.9298,765.67018,1776.6,135,15.53,40.5,16.8,125.775,83,133.56288,56.86
1498,47.085,18.3,0.45,215,215,967.96105,795.03895,1763,138.21429,15.89,41.46,17.2,128.76964,87,136.47463,54.14
1499,47.085,18.3,0.45,220,220,969.46003,777.33997,1746.8,141.42857,16.26,42.43,17.6,131.76429,92,139.3739,51.9
1500,47.085,18.3,0.45,225,225,971.96195,760.53805,1732.5,144.64286,16.63,43.39,18,134.75893,96,142.28229,48.91
1501,52.295,12.58,0.27,252,108,1090.8446,773.9554,1864.8,128.57143,14.79,38.57,14.4,118.82571,102,120.44818,36.19
1502,52.295,12.58,0.27,259,111,1081.5584,775.84155,1857.4,132.14286,15.2,39.64,14.8,122.12643,108,123.50981,36.52
1503,52.295,12.58,0.27,266,114,1070.4551,776.34486,1846.8,135.71429,15.61,40.71,15.2,125.42714,113,126.55607,36.85
1504,52.295,12.58,0.27,273,117,1057.564,775.43599,1833,139.28571,16.02,41.79,15.6,128.72786,119,129.58697,37.18
1505,52.295,12.58,0.27,280,120,1043.045,772.95498,1816,142.85714,16.43,42.86,16,132.02857,125,132.60251,37.52
1506,52.295,12.58,0.27,287,123,1026.6499,769.15012,1795.8,146.42857,16.84,43.93,16.4,135.32929,130,135.6027,37.85
1507,52.295,12.58,0.27,294,126,1010.9298,765.67018,1776.6,150,17.25,45,16.8,138.63,136,138.60768,38.16
1508,52.295,12.58,0.27,301,129,967.96105,795.03895,1763,153.57143,17.66,46.07,17.2,141.93071,152,141.63954,38.43
1509,52.295,12.58,0.27,308,132,969.46003,777.33997,1746.8,157.14286,18.07,47.14,17.6,145.23143,168,144.65893,38.66
1510,52.295,12.58,0.27,315,135,971.96195,760.53805,1732.5,160.71429,18.48,48.21,18,148.53214,184,147.68743,38.96
1511,49.69,15.44,0.36,216,144,1090.8446,773.9554,1864.8,128.57143,14.79,38.57,14.4,118.82571,100,122.17618,47.92
1512,49.69,15.44,0.36,222,148,1081.5584,775.84155,1857.4,132.14286,15.2,39.64,14.8,122.12643,103,125.28581,48.47
1513,49.69,15.44,0.36,228,152,1070.4551,776.34486,1846.8,135.71429,15.61,40.71,15.2,125.42714,105,128.38007,47.91
1514,49.69,15.44,0.36,234,156,1057.564,775.43599,1833,139.28571,16.02,41.79,15.6,128.72786,108,131.45897,48.75
1515,49.69,15.44,0.36,240,160,1043.045,772.95498,1816,142.85714,16.43,42.86,16,132.02857,110,134.52251,49.59
1516,49.69,15.44,0.36,246,164,1026.6499,769.15012,1795.8,146.42857,16.84,43.93,16.4,135.32929,113,137.5707,50.43
1517,49.69,15.44,0.36,252,168,1010.9298,765.67018,1776.6,150,17.25,45,16.8,138.63,115,140.62368,51.22
1518,49.69,15.44,0.36,258,172,967.96105,795.03895,1763,153.57143,17.66,46.07,17.2,141.93071,131,143.70354,51.04
1519,49.69,15.44,0.36,264,176,969.46003,777.33997,1746.8,157.14286,18.07,47.14,17.6,145.23143,146,146.77093,50.89
1520,49.69,15.44,0.36,270,180,971.96195,760.53805,1732.5,160.71429,18.48,48.21,18,148.53214,162,149.84743,50.69
1521,47.085,18.3,0.45,180,180,1090.8446,773.9554,1864.8,128.57143,14.79,38.57,14.4,118.82571,92,123.90418,59.79
1522,47.085,18.3,0.45,185,185,1081.5584,775.84155,1857.4,132.14286,15.2,39.64,14.8,122.12643,94,127.06181,59.88
1523,47.085,18.3,0.45,190,190,1070.4551,776.34486,1846.8,135.71429,15.61,40.71,15.2,125.42714,97,130.20407,59.98
1524,47.085,18.3,0.45,195,195,1057.564,775.43599,1833,139.28571,16.02,41.79,15.6,128.72786,99,133.33097,60.08
1525,47.085,18.3,0.45,200,200,1043.045,772.95498,1816,142.85714,16.43,42.86,16,132.02857,101,136.44251,60.18
1526,47.085,18.3,0.45,205,205,1026.6499,769.15012,1795.8,146.42857,16.84,43.93,16.4,135.32929,104,139.5387,60.28
